# Collection of Eggs for Easter 2025
# Field order: Chocolatier, volume, weight, chocolate, wrapper, filling
Carob Creations,1850.508,5552,1,0,0
Darrell Lea,3743.305,11230,0,2,0
Pink Lady,2731.781,2732,2,0,2
Lindt,565.556,566,1,2,2
Carob Creations,2630.394,5261,1,0,1
Pink Lady,3151.825,9455,1,2,0
Mars,2104.611,6314,1,0,0
Pink Lady,3675.474,7351,2,2,1
Lindt,2168.734,2169,0,2,2
Pink Lady,1419.408,1419,1,0,2
Pink Lady,748.668,2246,2,0,0
Cadbury,949.681,1899,1,1,1
Darrell Lea,99.758,200,1,0,1
Carob Creations,812.732,813,0,2,2
Pink Lady,2251.191,6754,2,0,0
Carob Creations,3498.014,3498,2,2,2
Cadbury,1949.319,3899,0,1,1
Pink Lady,1866.19,1866,2,2,2
Cadbury,3113.834,9342,0,2,0
Lindt,1380.649,2761,2,1,1
Ferrero,2761.354,5523,2,1,1
Mars,3033.816,6068,1,1,1
Mars,799.393,1599,0,2,1
Mars,3573.103,10719,1,2,0
Carob Creations,3931.125,7862,2,2,1
Cadbury,2427.684,2428,1,2,2
Lindt,911.454,1823,0,2,1
Ferrero,2884.272,2884,2,0,2
Ferrero,1444.38,4333,1,2,0
Lindt,1615.281,4846,2,0,0
Darrell Lea,3281.142,9843,0,1,0
Mars,368.112,368,0,2,2
Pink Lady,2076.633,4153,1,2,1
Kinder,2238.351,6715,2,2,0
Darrell Lea,3959.903,7920,2,0,1
Mars,3648.965,10947,2,1,0
Pink Lady,2088.099,2088,0,2,2
Ferrero,827.224,1654,0,2,1
Lindt,2019.712,6059,0,1,0
Kinder,2302.812,4606,2,0,1
Lindt,915.719,1831,2,2,1
Pink Lady,2162.416,6487,1,2,0
Pink Lady,1472.357,1472,0,1,2
Carob Creations,510.438,1021,1,2,1
Darrell Lea,3850.107,11550,1,1,0
Lindt,744.87,2235,2,2,0
Kinder,540.987,1082,2,0,1
Carob Creations,623.518,1871,2,2,0
Mars,797.418,797,2,2,2
Mars,648.422,1297,1,0,1
Lindt,284.759,285,2,2,2
Mars,953.597,954,0,0,2
Pink Lady,2530.72,7592,0,0,0
Carob Creations,3481.639,6963,2,1,1
Pink Lady,223.148,223,0,2,2
Ferrero,882.359,882,1,1,2
Carob Creations,2984.385,8953,0,2,0
Ferrero,366.807,734,1,1,1
Darrell Lea,3848.012,3848,2,2,2
Mars,2591.37,7774,1,1,0
Cadbury,52.612,53,0,0,2
Darrell Lea,3187.286,3187,0,2,2
Carob Creations,84.426,84,0,0,2
Ferrero,264.399,264,1,1,2
Kinder,7.741,8,1,2,2
Mars,2188.191,6565,0,2,0
Kinder,608.956,609,0,2,2
Cadbury,1370.224,1370,2,0,2
Carob Creations,3240.398,9721,0,2,0
Darrell Lea,3420.556,3421,2,0,2
Cadbury,2100.822,6302,2,1,0
Darrell Lea,3142.889,6286,2,0,1
Kinder,452.969,1359,2,0,0
Kinder,3855.188,11566,2,2,0
Pink Lady,4033.027,12099,1,1,0
Cadbury,328.485,328,1,0,2
Mars,334.833,335,0,0,2
Lindt,2911.266,5823,2,0,1
Lindt,2761.011,5522,1,0,1
Pink Lady,274.874,550,1,0,1
Darrell Lea,2037.694,6113,1,2,0
Pink Lady,2151.143,2151,1,0,2
Carob Creations,3795.267,7591,2,2,1
Lindt,3982.626,11948,1,0,0
Pink Lady,3401.219,6802,2,0,1
Kinder,377.897,1134,0,1,0
Mars,953.38,2860,1,2,0
Lindt,828.103,1656,0,0,1
Mars,1118.234,1118,1,1,2
Pink Lady,1110.604,2221,0,2,1
Ferrero,2731.798,2732,0,1,2
Lindt,193.327,193,0,1,2
Lindt,552.274,1657,1,1,0
Lindt,3992.28,3992,2,2,2
Mars,143.362,143,0,1,2
Kinder,1302.206,2604,2,1,1
Kinder,2066.323,6199,2,2,0
Cadbury,3662.547,3663,0,1,2
Cadbury,2334.18,7003,2,1,0
Mars,2976.719,8930,0,1,0
Mars,3895.28,3895,0,2,2
Kinder,1068.828,2138,2,0,1
Cadbury,2335.362,2335,1,2,2
Darrell Lea,1761.561,5285,0,2,0
Ferrero,2052.58,2053,1,0,2
Lindt,1875.734,5627,0,0,0
Ferrero,3882.131,11646,2,1,0
Darrell Lea,3904.912,7810,0,0,1
Pink Lady,3871.666,11615,0,2,0
Mars,2461.018,4922,0,1,1
Cadbury,3635.578,3636,1,1,2
Carob Creations,805.001,1610,1,1,1
Kinder,3617.878,7236,2,1,1
Lindt,3037.188,3037,0,0,2
Pink Lady,1993.684,5981,1,1,0
Ferrero,2388.539,4777,2,0,1
Lindt,63.194,63,2,1,2
Pink Lady,3632.908,7266,0,0,1
Lindt,2916.399,5833,0,2,1
Darrell Lea,3116.083,3116,0,2,2
Carob Creations,2258.733,4517,0,0,1
Mars,2618.174,7855,1,0,0
Cadbury,3196.205,9589,2,2,0
Mars,1923.234,1923,1,2,2
Lindt,3911.32,7823,0,0,1
Cadbury,2895.864,2896,2,2,2
Mars,2374.914,7125,0,2,0
Lindt,3378.178,6756,0,0,1
Lindt,1312.034,3936,2,2,0
Mars,2182.796,6548,2,2,0
Pink Lady,2678.49,5357,1,0,1
Mars,1698.348,5095,2,1,0
Lindt,3731.987,11196,0,1,0
Kinder,892.868,2679,0,2,0
Kinder,4177.51,12533,0,0,0
Carob Creations,1436.923,4311,1,1,0
Mars,1826.788,1827,2,1,2
Cadbury,546.762,1640,1,1,0
Mars,3965.661,7931,1,0,1
Ferrero,2236.514,6710,2,1,0
Cadbury,3902.25,3902,2,2,2
Carob Creations,2373.477,2373,1,1,2
Mars,239.887,720,2,1,0
Cadbury,2311.25,6934,0,1,0
Ferrero,3452.311,6905,0,0,1
Lindt,2742.701,5485,0,0,1
Kinder,672.344,672,0,2,2
Carob Creations,2405.544,2406,2,1,2
Mars,1778.583,5336,1,1,0
Cadbury,1187.502,2375,1,0,1
Cadbury,925.786,2777,1,1,0
Lindt,1427.214,1427,2,0,2
Cadbury,3294.155,9882,1,2,0
Carob Creations,10.822,32,0,2,0
Cadbury,1994.281,1994,1,2,2
Pink Lady,3404.838,10215,0,1,0
Carob Creations,4015.922,4016,0,0,2
Carob Creations,987.021,2961,1,2,0
Darrell Lea,18.528,37,1,0,1
Kinder,1078.058,2156,0,0,1
Cadbury,1315.745,1316,1,2,2
Pink Lady,2069.555,6209,1,0,0
Mars,460.718,921,0,0,1
Ferrero,290.584,872,0,2,0
Darrell Lea,620.174,1861,1,1,0
Pink Lady,1641.846,3284,2,2,1
Lindt,1449.812,2900,1,0,1
Cadbury,2360.036,7080,0,0,0
Mars,3912.022,11736,1,2,0
Kinder,1863.857,1864,2,0,2
Mars,1239.885,1240,1,1,2
Carob Creations,3271.161,6542,0,0,1
Ferrero,1806.073,5418,1,1,0
Lindt,2660.412,7981,1,2,0
Carob Creations,1694.366,1694,0,2,2
Carob Creations,3713.143,7426,1,1,1
Pink Lady,3410.918,6822,2,0,1
Carob Creations,273.829,548,0,0,1
Kinder,4105.819,8212,2,0,1
Pink Lady,1178.363,1178,2,1,2
Kinder,568.66,569,1,1,2
Carob Creations,598.508,599,0,1,2
Lindt,3306.246,9919,2,1,0
Kinder,2798.318,8395,2,1,0
Lindt,2839.574,5679,1,0,1
Lindt,2692.681,2693,0,0,2
Cadbury,109.897,110,1,0,2
Darrell Lea,1761.379,3523,2,0,1
Ferrero,20.427,61,1,1,0
Cadbury,4074.038,4074,2,2,2
Cadbury,668.157,668,1,1,2
Lindt,1514.093,4542,0,0,0
Mars,2699.19,8098,0,1,0
Darrell Lea,4012.32,12037,1,0,0
Cadbury,3640.663,7281,1,0,1
Mars,1153.754,1154,2,2,2
Darrell Lea,547.735,1095,0,0,1
Ferrero,2080.957,4162,1,1,1
Darrell Lea,1526.93,1527,0,2,2
Darrell Lea,3586.601,10760,1,0,0
Kinder,3379.235,6758,2,2,1
Mars,2485.121,4970,2,0,1
Cadbury,1847.491,5542,1,2,0
Cadbury,1963.694,3927,2,0,1
Carob Creations,2291.391,2291,0,2,2
Darrell Lea,372.298,1117,1,1,0
Pink Lady,3670.854,3671,1,0,2
Pink Lady,3543.675,7087,2,2,1
Kinder,834.207,2503,1,1,0
Kinder,2402.615,2403,2,2,2
Cadbury,2063.089,6189,1,1,0
Ferrero,3657.468,3657,2,1,2
Mars,2117.598,6353,2,0,0
Mars,2365.856,4732,0,0,1
Carob Creations,2639.381,2639,1,0,2
Kinder,736.763,1474,2,0,1
Pink Lady,2846.333,2846,2,0,2
Darrell Lea,179.702,180,1,0,2
Mars,2538.576,7616,0,0,0
Kinder,525.531,526,1,1,2
Cadbury,3021.742,3022,2,0,2
Ferrero,357.653,1073,0,2,0
Carob Creations,161.764,162,1,2,2
Lindt,2356.903,4714,2,2,1
Darrell Lea,3484.198,10453,0,0,0
Darrell Lea,3445.718,6891,2,1,1
Pink Lady,103.963,208,1,0,1
Mars,1787.239,1787,1,0,2
Ferrero,2737.766,5476,2,2,1
Lindt,1453.593,4361,1,0,0
Pink Lady,1530.48,1530,1,1,2
Ferrero,3062.431,6125,1,1,1
Kinder,3779.145,7558,2,2,1
Kinder,2640.993,2641,0,1,2
Carob Creations,3350.71,3351,0,1,2
Ferrero,2751.042,2751,0,2,2
Kinder,2468.111,2468,1,0,2
Ferrero,2293.097,2293,0,1,2
Pink Lady,1893.291,1893,0,2,2
Ferrero,4137.08,12411,0,0,0
Kinder,1862.481,5587,1,1,0
Darrell Lea,4077.539,12233,2,1,0
Pink Lady,577.035,1731,0,1,0
Darrell Lea,1732.025,3464,2,1,1
Kinder,761.131,1522,2,2,1
Lindt,1515.987,1516,2,0,2
Carob Creations,3664.001,3664,0,1,2
Mars,315.88,316,2,0,2
Cadbury,1447.391,1447,1,0,2
Lindt,2871.515,5743,2,0,1
Ferrero,3306.246,3306,0,2,2
Darrell Lea,2760.818,8282,0,0,0
Cadbury,2883.364,5767,2,0,1
Ferrero,2320.147,2320,0,2,2
Lindt,53.644,54,2,1,2
Kinder,3861.948,11586,0,2,0
Carob Creations,3195.472,9586,2,0,0
Darrell Lea,3773.164,7546,0,2,1
Cadbury,1163.578,3491,1,2,0
Carob Creations,3822.032,3822,0,1,2
Carob Creations,2688.657,8066,0,1,0
Carob Creations,2795.788,5592,2,1,1
Kinder,3570.86,3571,0,0,2
Cadbury,498.012,498,1,0,2
Kinder,2102.123,2102,2,2,2
Carob Creations,2986.671,5973,0,2,1
Cadbury,1507.87,4524,1,1,0
Lindt,3900.306,11701,2,0,0
Ferrero,3456.006,10368,1,1,0
Mars,3827.391,11482,1,2,0
Darrell Lea,2855.116,5710,1,2,1
Pink Lady,3518.244,10555,2,1,0
Carob Creations,3657.173,3657,1,2,2
Ferrero,3607.734,7215,2,0,1
Carob Creations,2818.855,8457,2,0,0
Cadbury,3327.491,6655,0,2,1
Pink Lady,3074.265,6149,1,0,1
Pink Lady,2649.81,7949,1,2,0
Cadbury,3692.96,7386,2,2,1
Darrell Lea,2160.235,6481,2,1,0
Cadbury,1325.196,3976,0,0,0
Darrell Lea,3938.677,7877,2,2,1
Lindt,1739.448,3479,2,2,1
Ferrero,2075.44,2075,0,1,2
Cadbury,1366.538,2733,0,2,1
Mars,1817.348,3635,0,0,1
Mars,3884.076,3884,2,1,2
Carob Creations,3419.026,3419,2,1,2
Darrell Lea,1304.809,3914,1,0,0
Kinder,2899.747,2900,2,0,2
Kinder,909.346,909,2,2,2
Ferrero,2073.652,6221,0,0,0
Ferrero,2355.655,7067,1,1,0
Lindt,1774.017,3548,1,1,1
Cadbury,49.048,147,1,1,0
Cadbury,4031.888,12096,0,0,0
Mars,1719.722,5159,1,1,0
Lindt,2087.869,2088,0,1,2
Ferrero,1178.77,3536,0,1,0
Kinder,2055.04,6165,0,2,0
Carob Creations,1270.072,3810,2,1,0
Ferrero,1290.13,2580,1,0,1
Ferrero,2292.017,6876,1,1,0
Ferrero,1060.718,2121,2,2,1
Darrell Lea,2306.185,6919,1,1,0
Mars,3143.877,9432,1,1,0
Carob Creations,3334.251,6669,1,1,1
Cadbury,2778.017,8334,2,2,0
Mars,384.629,1154,0,0,0
Ferrero,1180.19,3541,0,2,0
Ferrero,1467.667,2935,1,0,1
Cadbury,2827.316,5655,2,2,1
Pink Lady,381.51,382,0,0,2
Darrell Lea,2998.038,5996,0,0,1
Cadbury,1022.004,1022,0,1,2
Carob Creations,2403.405,2403,2,0,2
Darrell Lea,835.545,2507,0,1,0
Darrell Lea,2020.59,4041,1,1,1
Kinder,3165.313,3165,1,2,2
Cadbury,2747.332,5495,1,0,1
Kinder,917.354,1835,1,2,1
Ferrero,585.729,1757,2,0,0
Lindt,3635.948,10908,2,2,0
Lindt,2760.522,8282,2,1,0
Darrell Lea,3216.08,3216,1,0,2
Pink Lady,618.62,1237,2,1,1
Mars,3358.139,6716,0,2,1
Pink Lady,1283.407,2567,0,0,1
Pink Lady,2936.701,2937,1,1,2
Kinder,713.501,2141,2,0,0
Lindt,2558.795,2559,0,1,2
Lindt,2309.763,4620,2,0,1
Mars,1824.715,3649,2,2,1
Carob Creations,1303.06,2606,2,2,1
Mars,2643.562,2644,0,1,2
Pink Lady,1463.201,2926,1,1,1
Mars,1224.693,3674,1,1,0
Carob Creations,1611.046,4833,0,0,0
Carob Creations,1919.046,5757,1,0,0
Carob Creations,83.311,83,2,1,2
Lindt,2237.526,2238,0,0,2
Cadbury,464.234,1393,1,1,0
Mars,4125.52,4126,1,2,2
Cadbury,3082.522,6165,0,1,1
Kinder,2958.844,5918,0,2,1
Darrell Lea,3580.627,10742,1,0,0
Darrell Lea,3491.067,6982,0,1,1
Pink Lady,846.003,846,0,0,2
Pink Lady,3259.456,9778,0,1,0
Ferrero,3849.998,7700,0,1,1
Ferrero,3828.314,7657,0,2,1
Lindt,10.963,33,1,2,0
Pink Lady,730.585,2192,0,0,0
Pink Lady,873.789,1748,0,1,1
Kinder,2772.366,2772,0,1,2
Darrell Lea,623.812,1871,1,2,0
Kinder,615.415,1846,1,2,0
Carob Creations,1721.994,5166,1,2,0
Carob Creations,482.48,482,0,1,2
Darrell Lea,2805.461,2805,0,0,2
Mars,1206.493,2413,1,0,1
Darrell Lea,3885.008,3885,1,0,2
Lindt,4009.886,4010,0,2,2
Pink Lady,3748.298,11245,2,1,0
Kinder,1365.616,4097,0,2,0
Cadbury,3900.108,3900,1,1,2
Carob Creations,1597.911,4794,1,1,0
Lindt,2032.658,4065,1,2,1
Pink Lady,2723.214,2723,1,2,2
Ferrero,1395.776,4187,1,0,0
Mars,3535.992,10608,2,2,0
Cadbury,2280.918,6843,1,0,0
Carob Creations,2930.064,8790,1,0,0
Kinder,1261.297,2523,0,0,1
Cadbury,1510.551,4532,1,2,0
Darrell Lea,2866.901,5734,2,2,1
Kinder,2080.847,2081,2,2,2
Darrell Lea,817.708,2453,2,0,0
Carob Creations,1348.42,2697,2,2,1
Kinder,2508.338,7525,1,1,0
Darrell Lea,166.479,166,1,1,2
Kinder,133.518,134,1,1,2
Lindt,2924.199,2924,0,0,2
Pink Lady,1014.64,1015,1,1,2
Ferrero,2303.633,4607,1,0,1
Mars,2959.707,2960,0,2,2
Ferrero,3186.567,9560,1,1,0
Pink Lady,3057.974,3058,2,2,2
Carob Creations,876.715,1753,0,1,1
Ferrero,3302.826,3303,2,0,2
Darrell Lea,667.325,2002,1,2,0
Darrell Lea,266.367,799,0,0,0
Pink Lady,354.063,354,1,0,2
Carob Creations,79.092,79,2,2,2
Mars,3900.084,11700,1,0,0
Darrell Lea,1093.878,2188,1,0,1
Mars,1044.389,2089,2,2,1
Pink Lady,139.501,140,0,2,2
Darrell Lea,402.041,402,1,2,2
Carob Creations,2978.603,2979,0,1,2
Darrell Lea,2714.973,8145,2,0,0
Lindt,2128.16,4256,1,0,1
Carob Creations,3852.057,7704,0,1,1
Cadbury,1068.25,3205,2,0,0
Cadbury,3941.125,7882,2,0,1
Darrell Lea,389.766,1169,2,1,0
Lindt,4053.879,8108,0,0,1
Cadbury,1414.723,2829,2,0,1
Carob Creations,2473.335,7420,1,1,0
Pink Lady,3696.344,7393,1,1,1
Pink Lady,3043.063,6086,0,0,1
Cadbury,1726.427,5179,1,0,0
Lindt,3416.962,10251,1,2,0
Ferrero,137.302,275,1,1,1
Pink Lady,1084.57,1085,0,0,2
Lindt,639.113,639,2,1,2
Darrell Lea,1716.521,1717,1,2,2
Cadbury,2362.59,2363,1,2,2
Carob Creations,1861.059,3722,0,1,1
Darrell Lea,1271.916,3816,0,1,0
Lindt,1464.009,4392,0,0,0
Pink Lady,2553.87,7662,2,0,0
Kinder,2736.89,8211,2,2,0
Lindt,3375.781,10127,0,0,0
Pink Lady,1272.332,3817,0,0,0
Pink Lady,1849.532,5549,1,0,0
Kinder,2731.869,8196,2,1,0
Cadbury,125.08,125,1,0,2
Mars,2657.585,5315,0,0,1
Ferrero,3531.001,7062,0,0,1
Pink Lady,751.287,1503,0,0,1
Carob Creations,3453.028,3453,2,1,2
Darrell Lea,1197.789,3593,0,1,0
Pink Lady,2763.068,2763,1,0,2
Kinder,1609.876,4830,0,0,0
Lindt,3879.829,7760,0,0,1
Mars,350.242,700,2,1,1
Kinder,2011.686,4023,1,2,1
Mars,3681.327,3681,2,0,2
Pink Lady,1648.445,3297,1,1,1
Darrell Lea,1271.451,1271,1,1,2
Pink Lady,192.51,385,1,1,1
Cadbury,2424.863,2425,0,1,2
Cadbury,2342.666,2343,2,1,2
Kinder,3681.311,11044,1,1,0
Cadbury,2499.053,7497,1,1,0
Pink Lady,1701.997,3404,1,1,1
Kinder,3506.147,10518,1,0,0
Cadbury,14.05,14,0,1,2
Mars,592.316,592,2,0,2
Ferrero,121.073,242,0,1,1
Mars,154.284,309,0,1,1
Mars,1662.918,4989,2,2,0
Pink Lady,3902.631,3903,2,2,2
Kinder,3489.904,10470,0,1,0
Kinder,2161.945,4324,1,1,1
Pink Lady,223.278,670,2,1,0
Pink Lady,2279.445,4559,1,1,1
Darrell Lea,2191.009,4382,0,0,1
Cadbury,1494.891,2990,1,1,1
Pink Lady,1521.203,1521,1,2,2
Pink Lady,760.771,2282,1,0,0
Mars,2078.225,2078,1,0,2
Mars,3992.384,3992,1,0,2
Carob Creations,2656.805,5314,0,1,1
Cadbury,2775.481,5551,0,0,1
Carob Creations,45.591,91,0,1,1
Lindt,3424.958,10275,0,0,0
Pink Lady,3623.543,7247,2,2,1
Cadbury,479.439,1438,0,0,0
Pink Lady,4146.287,12439,2,1,0
Pink Lady,3869.934,11610,1,2,0
Ferrero,2164.046,2164,1,0,2
Kinder,674.86,675,0,0,2
Pink Lady,15.279,31,2,2,1
Kinder,1776.315,5329,2,1,0
Cadbury,3783.277,7567,2,1,1
Mars,1922.244,3844,2,1,1
Ferrero,2539.84,2540,1,2,2
Kinder,3611.221,10834,2,0,0
Cadbury,2527.426,2527,1,2,2
Mars,1199.113,1199,1,2,2
Pink Lady,648.854,1947,2,1,0
Cadbury,452.851,906,0,1,1
Carob Creations,305.673,917,1,2,0
Pink Lady,3087.189,3087,2,0,2
Cadbury,1150.203,3451,1,1,0
Cadbury,2972.164,5944,0,1,1
Carob Creations,43.615,131,0,0,0
Pink Lady,1298.479,2597,0,2,1
Lindt,3822.287,11467,0,1,0
Cadbury,111.07,111,1,0,2
Cadbury,611.339,1834,0,2,0
Pink Lady,1574.51,1575,0,0,2
Pink Lady,4117.466,8235,2,2,1
Cadbury,1165.765,3497,0,1,0
Pink Lady,3030.206,3030,2,0,2
Darrell Lea,3518.974,3519,2,2,2
Carob Creations,1739.615,1740,0,2,2
Darrell Lea,2224.741,2225,0,2,2
Darrell Lea,432.461,865,2,2,1
Ferrero,2271.479,2271,1,2,2
Lindt,3541.192,3541,1,1,2
Lindt,2827.356,8482,2,1,0
Mars,3590.831,10772,2,1,0
Darrell Lea,3055.125,3055,1,1,2
Cadbury,3052.168,3052,2,0,2
Carob Creations,3804.836,7610,0,1,1
Cadbury,3997.621,7995,2,1,1
Pink Lady,448.377,1345,2,1,0
Lindt,3870.521,3871,2,0,2
Ferrero,3499.132,6998,1,1,1
Ferrero,2739.053,5478,2,2,1
Kinder,2770.189,5540,0,0,1
Kinder,1055.453,1055,2,2,2
Carob Creations,1949.144,3898,0,1,1
Lindt,603.931,1208,2,2,1
Mars,49.351,99,0,2,1
Kinder,959.102,1918,2,2,1
Mars,2926.285,5853,0,2,1
Mars,3788.719,11366,2,1,0
Kinder,3587.077,7174,2,0,1
Darrell Lea,1276.737,3830,1,1,0
Cadbury,1110.391,1110,1,0,2
Pink Lady,154.473,154,0,2,2
Cadbury,2218.71,2219,1,2,2
Lindt,3968.424,11905,0,2,0
Lindt,3640.359,3640,2,0,2
Mars,1324.222,2648,0,1,1
Kinder,1425.389,4276,1,1,0
Darrell Lea,2282.119,4564,1,0,1
Cadbury,1234.209,2468,0,0,1
Ferrero,3846.7,3847,2,2,2
Ferrero,2862.182,2862,1,2,2
Darrell Lea,2288.653,4577,2,1,1
Ferrero,317.083,317,0,0,2
Carob Creations,3576.062,3576,0,1,2
Cadbury,1565.173,4696,0,1,0
Carob Creations,2371.85,4744,2,2,1
Mars,874.26,874,1,2,2
Pink Lady,886.501,2660,1,0,0
Cadbury,3003.042,3003,0,2,2
Lindt,2591.406,2591,0,1,2
Darrell Lea,2481.303,2481,1,2,2
Darrell Lea,3456.622,10370,2,2,0
Lindt,554.62,555,1,0,2
Kinder,750.401,1501,2,0,1
Carob Creations,536.473,1609,2,0,0
Pink Lady,2409.987,2410,1,1,2
Carob Creations,3064.613,3065,2,0,2
Ferrero,2174.615,6524,1,0,0
Cadbury,3085.716,3086,0,1,2
Ferrero,3384.647,10154,2,1,0
Darrell Lea,1679.584,3359,1,0,1
